Entity,Code,Year,Age,"Deaths from malignant neoplasms per 100,000 people in, both sexes"
Malaysia,MYS,2019,1 to 19,115.76752
Malaysia,MYS,2019,20 to 39,374.077905
Malaysia,MYS,2019,40 to 59,2943.02184
Malaysia,MYS,2019,60 to 79,11005.2408
Malaysia,MYS,2019,over 80,7811.6
Malaysia,MYS,2020,less than 1,7.506296
Malaysia,MYS,2020,1 to 19,119.106187
Malaysia,MYS,2020,20 to 39,361.308136
Malaysia,MYS,2020,40 to 59,3131.24093
Malaysia,MYS,2020,60 to 79,11330.7414
Malaysia,MYS,2020,over 80,8540.7254
