Entity,Code,Year,Cancer Type,"Age-standardized deaths in both sexes per 100,000 people"
Malaysia,MYS,2004,liver cancer,3.7935493
Malaysia,MYS,2005,bladder cancer,0.48679596
Malaysia,MYS,2005,colon and rectum cancers,3.8462906
Malaysia,MYS,2005,pancreas cancer,1.1649904
Malaysia,MYS,2005,breast cancer,3.5285592
Malaysia,MYS,2005,corpus uteri cancer,0.38726506
Malaysia,MYS,2005,kidney cancer,0.5016205
Malaysia,MYS,2005,oesophagus cancer,0.7744239
Malaysia,MYS,2005,melanoma and other,0.40631726
Malaysia,MYS,2005,prostate cancer,0.7654697
Malaysia,MYS,2005,thyroid cancer,0.3498232
Malaysia,MYS,2005,testicular cancer,0.04609606
Malaysia,MYS,2005,"trachea, bronchus, lung cancers",8.964529
Malaysia,MYS,2005,mouth and oropharynx cancers,2.3101416
Malaysia,MYS,2005,ovary cancer,0.9647795
Malaysia,MYS,2005,larynx cancer,0.2667807
Malaysia,MYS,2005,gallbladder and biliary tract cancer,0.37047213
Malaysia,MYS,2005,cervix uteri cancer,1.1441009
Malaysia,MYS,2005,stomach cancer,2.0629716
Malaysia,MYS,2005,brain and nervous system cancers,0.53588074
Malaysia,MYS,2005,liver cancer,3.3083007
Malaysia,MYS,2006,bladder cancer,0.6061855
Malaysia,MYS,2006,colon and rectum cancers,4.0141854
Malaysia,MYS,2006,pancreas cancer,1.1558572
Malaysia,MYS,2006,breast cancer,3.7150886
Malaysia,MYS,2006,corpus uteri cancer,0.3263207
Malaysia,MYS,2006,kidney cancer,0.4196411
Malaysia,MYS,2006,oesophagus cancer,0.83428687
Malaysia,MYS,2006,melanoma and other,0.28894076
Malaysia,MYS,2006,prostate cancer,0.88790315
Malaysia,MYS,2006,thyroid cancer,0.39232895
Malaysia,MYS,2006,testicular cancer,0.06121633
Malaysia,MYS,2006,"trachea, bronchus, lung cancers",8.697799
Malaysia,MYS,2006,mouth and oropharynx cancers,2.284136
Malaysia,MYS,2006,ovary cancer,1.0728241
Malaysia,MYS,2006,larynx cancer,0.2376518
Malaysia,MYS,2006,gallbladder and biliary tract cancer,0.3129482
Malaysia,MYS,2006,cervix uteri cancer,1.1131701
Malaysia,MYS,2006,stomach cancer,1.9392301
Malaysia,MYS,2006,brain and nervous system cancers,0.52799755
Malaysia,MYS,2006,liver cancer,3.795074
Malaysia,MYS,2007,bladder cancer,0.5316377
Malaysia,MYS,2007,colon and rectum cancers,4.3758693
Malaysia,MYS,2007,pancreas cancer,1.4123901
Malaysia,MYS,2007,breast cancer,3.9035127
Malaysia,MYS,2007,corpus uteri cancer,0.5039616
Malaysia,MYS,2007,kidney cancer,0.610105
Malaysia,MYS,2007,oesophagus cancer,0.7764133
Malaysia,MYS,2007,melanoma and other,0.2768741
Malaysia,MYS,2007,prostate cancer,1.0618631
Malaysia,MYS,2007,thyroid cancer,0.4903651
Malaysia,MYS,2007,testicular cancer,0.05547096
Malaysia,MYS,2007,"trachea, bronchus, lung cancers",8.867546
Malaysia,MYS,2007,mouth and oropharynx cancers,2.3212903
Malaysia,MYS,2007,ovary cancer,1.0595868
Malaysia,MYS,2007,larynx cancer,0.34242132
Malaysia,MYS,2007,gallbladder and biliary tract cancer,0.37826723
Malaysia,MYS,2007,cervix uteri cancer,1.2728077
Malaysia,MYS,2007,stomach cancer,1.9461343
Malaysia,MYS,2007,brain and nervous system cancers,0.5831814
Malaysia,MYS,2007,liver cancer,3.772274
Malaysia,MYS,2008,bladder cancer,0.5379629
Malaysia,MYS,2008,colon and rectum cancers,4.6306844
Malaysia,MYS,2008,pancreas cancer,1.4836019
Malaysia,MYS,2008,breast cancer,4.0243793
Malaysia,MYS,2008,corpus uteri cancer,0.44030714
Malaysia,MYS,2008,kidney cancer,0.4843815
Malaysia,MYS,2008,oesophagus cancer,0.733691
Malaysia,MYS,2008,melanoma and other,0.33498073
Malaysia,MYS,2008,prostate cancer,0.8506037
Malaysia,MYS,2008,thyroid cancer,0.4205322
Malaysia,MYS,2008,testicular cancer,0.06732585
Malaysia,MYS,2008,"trachea, bronchus, lung cancers",9.104584
Malaysia,MYS,2008,mouth and oropharynx cancers,2.4018056
Malaysia,MYS,2008,ovary cancer,1.1101635
Malaysia,MYS,2008,larynx cancer,0.27243793
Malaysia,MYS,2008,gallbladder and biliary tract cancer,0.32551083
Malaysia,MYS,2008,cervix uteri cancer,1.2383146
Malaysia,MYS,2008,stomach cancer,2.0949774
Malaysia,MYS,2008,brain and nervous system cancers,0.56249535
Malaysia,MYS,2008,liver cancer,3.694054
Malaysia,MYS,2009,bladder cancer,0.55721104
Malaysia,MYS,2009,colon and rectum cancers,4.3405633
Malaysia,MYS,2009,pancreas cancer,1.3656744
Malaysia,MYS,2009,breast cancer,3.8534293
Malaysia,MYS,2009,corpus uteri cancer,0.4581805
Malaysia,MYS,2009,kidney cancer,0.4320984
Malaysia,MYS,2009,oesophagus cancer,0.5763433
Malaysia,MYS,2009,melanoma and other,0.3339879
Malaysia,MYS,2009,prostate cancer,0.9842706
Malaysia,MYS,2009,thyroid cancer,0.44016793
